,CODE,ESTACION,LON,LAT,ALT
206,X4722A338,ACJANACO,-71.61941,-13.19672,3466.0
207,X472B059C,ANTABAMBA,-72.85628,-14.38483,3845.0
208,X472976F8,CALCA,-72.95524,-13.33333,2924.0
209,X472A1410,CASACCANCHA,-72.29832,-13.98923,4050.0
210,X472B16EA,HUACULLO,-72.57275,-14.65289,4672.0
211,X4727C11E,HUAYLLABAMBA,-72.44881,-13.26581,3020.0
212,X472935F2,INTIHUATANA H,-72.56342,-13.17408,1778.0
213,X472852EE,INTIHUATANA M,-72.5605,-13.22431,1780.0
214,X472587E0,I?APARI,-69.578,-10.95589,244.0
215,X472897F0,MACHUPICCHU,-72.54585,-13.16655,2548.0
216,X47E8336C,MALINOWSKY,-69.5175,-12.93411,215.0
217,X4722B04E,MARCAPATA,-70.89653,-13.50411,1758.0
218,X472A6280,NUEVO PISAC,-71.84111,-13.4275,2971.0
219,X4729950A,PACAYMAYO,-72.49847,-13.23425,3606.0
220,X472AF7E2,PUNANQUI,-72.10047,-13.95139,2701.0
221,X4729867C,QORIHUAYRACHINA,-72.43383,-13.22419,1580.0
222,X4729B3E6,QUILLABAMBA,-72.69172,-12.85644,1011.0
223,X114118,SALCCA,-71.23186,-14.16994,3913.0
224,X4729658E,SAN PABLO,-72.61992,-13.02506,1237.0
225,X472AE494,SANTA ROSA CHAPIMARCA,-73.17481,-13.99183,2263.0
226,X4727D268,SANTA TERESA,-72.5925,-13.13194,1520.0
227,X4729A090,SANTO TOMAS,-72.1,-14.45,3658.0
228,X4726158C,SICUANI,-71.23669,-14.23736,3568.0
229,X47294362,SORAYPAMPA,-72.57419,-13.39471,3865.0
230,X4727B78E,AYAVIRI,-70.59314,-14.87183,3928.0
231,X472E4156,ILLPA,-70.08333,-15.68333,3827.0
232,X472CF72C,JULIACA,-70.17122,-15.47106,3826.0
233,X472E8448,LAGUNILLAS,-70.6775,-15.74562,4177.0
234,X472CB426,LARAQUERI,-70.04589,-16.13592,3928.0
235,X472E37C6,PALCA,-70.59315,-15.23587,4073.0
236,X472DE6A0,PAMPAHUTA,-70.67578,-15.48528,4400.0
237,X47251282,PUENTE CARRETERA,-69.87381,-15.25544,3812.0
238,X472DD33A,PUNO,-70.01208,-15.82625,3812.0
239,X117059,ANCOAQUE,-69.93917,-17.19972,4422.0
240,X47A00F5E,ANTIOQUIA,-76.52889,-12.06611,1415.0
241,X47A03AC4,AUTISHA,-76.60639,-11.73361,2147.0
242,X4720BB68,AYAHUITUNA,-73.77419,-15.02262,3316.0
243,X4721AAE4,AYMANA,-70.66759,-13.87279,4178.0
244,X472C57D4,BAGUA,-78.53397,-5.66142,400.0
245,X47A04C54,BOCATOMA ATARJEA,-76.96417,-12.02528,270.0
246,X109096,BUENA VISTA,-78.20828,-9.43372,204.0
247,X47E1C5B4,CANAD,-78.99733333,-6.649344444,1213.0
248,X4AD07658,CADASBAMBA,-77.58103,-8.62384,2898.0
249,X112181,CAMPO DE MARTE,-77.0432,-12.07057,122.0
250,X47A09A3C,CANAL CASHAMPA,-76.46167,-11.23,4551.0
251,X113249,CANETE,-76.33042,-13.07475,115.0
252,X4720F862,CAROCURAHUAYTE COHIDRO,-74.05389,-5.11214,101.0
253,X4AD03552,CASMA,-78.30137,-9.47982,45.0
254,X114122,CCONTACC,-74.2642,-14.5423,3711.0
255,X111288,CHACAPALCA,-75.7557,-11.7328,3752.0
256,X4AD013BE,CHACAS,-77.36577,-9.16249,3362.0
257,X472147C4,CHARCANI PSI,-71.49511,-16.31086,2646.0
258,X105130,CHICHILAPAS,-79.30992,-5.27948,2138.0
259,X472A9204,CHILCA,-72.34056,-13.2235,2774.0
260,X4AD02624,CHIQUIAN,-77.15679,-10.14431,3368.0
261,X4720CDF8,COCHAMARCA,-75.51019,-12.99,3951.0
262,X251107,CONTAMANA COHIDRO,-75.005,-7.35456,121.0
263,X4728F216,CORDOVA GORE,-75.16667,-14.03333,3181.0
264,X4AD050B4,CORONGO,-77.91019,-8.50942,3821.0
265,X47214916,ENAPU COHIDRO,-73.23936,-3.731,85.0
266,X221403,ESTRELLA COHIDRO,-76.77333,-4.81939,129.0
267,X4728B11C,FONAGRO GORE,-76.13361,-13.46278,60.0
268,X47292684,HUACHOS GORE,-75.53333,-13.21667,2818.0
